Text,Field_true,Field_predictedbyModel
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
I need to crawl content about gobal compentance. It doesn’t matter how many articles or years.,Eduction,Computer Science
"I need to crawl 26 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Literature
"I need to crawl 26 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Literature
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from cnki.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about global competency, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from geogle schoolar.",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from CNKI",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from CNKI",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from CNKI",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from CNKI",Eduction,Other
"I need to crawl 6 articles about Cultivating children’s empathy, preferably all published after 2020. Better to crawl it from google scholor",Eduction,Other
